VSL_NM,mmsi_no,IMO,CAPACITY
SEASPAN BREEZE,477127900,9685358,10100
MSC HEIDI,372008000,9309473,8411
SINOKOR NIIGATA,441772000,9209908,550
MSC CAMILLE,354625000,9404651,14028
COSCO PRINCE RUPERT,477351400,9448803,8158
HEUNG-A ULSAN,440120000,9128996,364
MSC BREMEN,636091270,9369734,5029
MSC TARANTO,636092247,9475258,14000
MSC JEWEL,636019207,9842073,14336
MSC BERYL,357926000,9467392,12967
MSC RUBY,636092764,9502960,13092
CSCL ASIA,477360800,9285976,8468
PACIFIC TIANJIN,563158600,9498690,698
MSC DESIREE,255805868,9745665,9440
MSC ABY,636020730,9166778,10457
NAVIOS UTMOST,636012808,9302621,8204
HMM RAON,636020746,9869215,16000
LEO C,636017306,9229312,6178
COSCO FOS,477947700,9484302,4253
ZHU CHENG XIN ZHOU,413556780,9252993,2524
SEASPAN BRILLIANCE,477698700,9685334,10100
SOUTHAMPTON EXPRESS,219259000,9447885,13371
MSC TANIA,636018603,9316373,2732
MSC ROCHELLE,636016476,9141297,4675
MSC GIANNINA II,373579000,9289051,1736
MSC SOFIA PAZ,636016306,9695028,9000
MSC TAMPA,636021760,9317925,5044
MSC ANDREA F,636019887,9306275,1100
MSC CHARLESTON,255806367,9299537,8034
MSC SANTA MARIA,352001168,9290426,5042
MSC DAVAO III,370928000,9243241,2524
AKA BHUM,563135800,9307011,5888
MSC MARGARITA,636016429,9238741,5514
SEASPAN BRAVO,477271900,9685322,10100
MSC PARIS,255803201,9301483,8204
HMM BLESSING,440117000,9742170,10533
VALOR,229458000,9628154,8800
NAVIGARE COLLECTOR,219059000,9779771,10100
SEASPAN BRIGHTNESS,477518600,9685346,10100
SEASPAN FALCON,477154200,9793909,11923
VALENCE,229548000,9628180,8800
MSC ARICA,636019582,9619452,8886
MSC ANA CAMILA III,636020962,9261827,2526
SEASPAN OCEANIA,477020300,9286009,8468
OOCL BRAZIL,355443000,9495038,8476
MSC TORONTO,255806377,9299525,7685
SEASPAN BELIEF,477548300,9713351,10100
OOCL HAMBURG,477702000,9252008,8063
MSC VIRGO,255806340,9857171,15000
OOCL LUXEMBOURG,477738600,9417270,8063
MSC ANTONELLA,255805859,9702273,8829
MSC RAPALLO,636092271,9484455,12652
MSC LA SPEZIA,218400000,9461403,14736
XIN YA ZHOU,413161000,9334935,8176
AL RIFFA,229005000,9525912,13296
MSC SHAY,373021000,9393022,8566
RIO GRANDE EXPRESS,477696800,9301823,4253
MSC ELA,353934000,9282259,4900
KUALA LUMPUR EXPRESS,218284000,9343730,8606
VALUE,229467000,9628166,8800
MSC POLARIS,636016066,9074042,4809
YM WELCOME,477430100,9708459,14198
SEASPAN RAPTOR,477159700,9793911,11923
XIN MEI ZHOU,413165000,9337925,8533
MSC ELENI,357067000,9278143,5050
SEASPAN BEAUTY,477478700,9713349,10100
COYHAIQUE,636092814,9687588,9300
MSC BEIJING,255806376,9289099,8089
SEASPAN BELLWETHER,477181200,9713363,10100
NAVARINO,477252600,9400289,8533
MSC LISA,353968000,9281279,5059
SEAMAX STRATFORD,538007698,9305491,8204
MSC SARA ELENA,255806499,9702261,8829
COSCO SAO PAULO,477832200,9484388,4253
COPIAPO,636092775,9687526,9300
COSCO ASIA,356581000,9345403,10060
MSC SOLA,370894000,9401104,11668
MSC HAILEY ANN III,636021614,9261815,2524
MSC BRANKA,255805891,9720495,9400
YM WELLBEING,355563000,9820908,14220
SEASPAN BEYOND,477348300,9739678,10100
MSC PRATITI,636016204,9280861,4992
MSC NASSAU,636021128,9471226,4253
MSC CAPELLA,373031000,9465289,13102
MSC AURIGA,255806338,9857183,15000
MSC MUNDRA,636021151,9294989,8402
MSC PEGASUS,636016673,9267637,6586
MSC IDA II,636019861,9224946,2084
MSC BARI,636092188,9461441,14698
COSCO NEW YORK,355808000,9335185,4806
MSC TAMPICO,255790000,9317937,5041
CSCL AUTUMN,477117900,9645891,10036
COCHRANE,636092793,9687540,9326
CONTI CHIVALRY,636093093,9293791,8084
MSC VITA,255806493,9702089,9000
MSC ANTONIA,636018660,9398216,6969
MSC NOA,636018659,9398228,6969
MSC SHRISTI,636020334,9293442,4738
MSC ELLEN,636020729,9166780,8426
CONTI ANNAPURNA,636092883,9286255,8238
MONTEVIDEO EXPRESS,563105800,9793935,11923
MSC PERLE,636017921,9503732,13092
OOCL GENOA,477454900,9613587,8825
XIN OU ZHOU,413159000,9337913,8533
CISNES,636092799,9687576,9326
MSC SILVANA,371908000,9309459,8411
MSC LUCIANA,355283000,9398383,11668
MSC CHANNE,255805864,9710438,8819
MSC RENEE,477307300,9465306,13102
MSC EVEREST,636021393,9286231,8238
MSC KANOKO,636019214,9842102,14336
MSC EMMA,636018571,9463047,13102
AL DHAIL,538005843,9732307,13586
VANTAGE,229598000,9628192,8800
ZIM CHARLESTON,477714100,9461506,8586
UMM SALAL,215237000,9525857,13296
MSC CRISTINA,636016858,9465241,13000
MERSIN EXPRESS,271044570,9740653,2586
HENG HUI 6,413703990,9287895,5060
PACIFIC SINGAPORE,563147400,9433937,698
ONE ORINOCO,477836900,9937311,0
ONE AMAZON,477842200,9937323,0
MSC BRUNELLA,255806491,9702106,8829
TAYMA EXPRESS,636021769,9525895,13500
OOCL NEW YORK,477274700,9198109,5770
CSCL WINTER,477117400,9645877,10036
MSC ORION,255806339,9857157,15000
CAUTIN,636092792,9687538,9326
PARANAGUA EXPRESS,563034800,9786724,11923
MSC LOS ANGELES,372753000,9345958,4250
RIO DE JANEIRO EXPRESS,211111000,9508902,13200
MSC ALIYA,636019215,9842097,14336
HYUNDAI SATURN,232024771,9725146,10000
AMALTHEA,255805781,9397913,4178
MSC NATASHA,636018385,9463035,13092
MSC NIMISHA III,636021991,9315886,2824
VALIANT,229541000,9628178,8827
MSC MADELEINE,353728000,9305702,9133
AKADIMOS,215499000,9706308,9288
SEASPAN OSPREY,477539600,9786736,11923
SEASPAN HARRIER,477159600,9793923,11800
MSC BETTINA,352361000,9399038,13798
CAUQUENES,636092786,9687552,9100
MSC FREEPORT,636021888,9301330,5060
XIN FEI ZHOU,413171000,9337937,8176
MSC INES,356112000,9305714,9133
MSC MOON F,636021247,9366421,1155
MSC SOTIRIA III,636021154,9259393,2475
MSC ELMA,255805866,9735218,9372
MSC ISTANBUL,636017537,9606326,16652
MSC ELISA,636018572,9463059,12692
MSC RINI III,636021011,9419644,2664
MSC AGRIGENTO,357096000,9618276,8800
MSC SONIA,353160000,9404663,14036
MSC VANDYA,373005000,9484467,13106
MSC DEILA,373183000,9461415,14036
MSC MONICA,351607000,9060649,3398
MSC ALGHERO,351819000,9618288,8800
MSC DANIELA,370892000,9399002,1309
SEROJA LIMA,357988000,9567661,8214
MOL PRESENCE,564803000,9444273,6350
MSC IMMA,355714000,9124366,2517
CHARLESTON,636018237,9305465,8204
MSC NORA,636018230,9163207,1804
WANA BHUM,567317000,9308663,2378
ZIM ANTWERP,636014220,9398448,10062
MSC ILONA,636092932,9225641,6732
XIN BIN ZHOU,414240000,9185413,2732
ADONIS,636021251,9706310,9288
MSC FLAVIA,373004000,9467433,13092
SEAMAX WESTPORT,538005956,9302645,7894
AL JMELIYAH,538005848,9732357,14993
MAERSK SHIVLING,636017104,9728253,9288
MAGNA,311703000,9296468,511
COSCO SHIPPING VOLGA,477043200,9731925,8687
MSC ELAINE,371929000,9393321,8566
YM UBIQUITY,416467000,9462706,8626
MSC LUISA,355308000,9225677,6732
MSC ELOISE,371057000,8917778,1916
A HOUOU,371793000,9229609,1052
CAPE AKRITAS,249202000,9706190,11037
SONGA TIGER,636020846,9435246,1740
MSC RIFAYA,636017685,9767388,19462
YM TOTALITY,636019984,9860922,10000
XIN HONG KONG,477593600,9314222,9200
SEASPAN HUDSON,477699600,9630418,10000
SANTA LORETTA,218643000,9290567,9178
LANTAU BEE,563121100,9404730,1049
MSC DAMLA,353499000,9250983,6402
MSC KUMSAL,636020979,9305506,8533
SANTA LINEA,218650000,9290555,9178
BOYA,357622000,9242572,735
MSC AZOV,229620000,9605255,9400
MSC FAITH,636019213,9842085,14336
FESCO YANINA,273298570,9301304,962
PERSEY,273212630,9341988,698
NYK FURANO,566259000,9487952,3792
CONTI MAKALU,636092927,9286243,8238
MSC VALERIA,370341000,9461439,14036
CROATIA,256763000,9723277,9019
MSC VEGA,636015506,9465265,13102
CAPE ARTEMISIO,248140000,9777175,11037
MSC TRIESTE,229622000,9484479,12350
MSC RAVENNA,636092268,9484431,14698
MSC BEATRICE,353162000,9399014,13798
MSC ANZU,255806496,9710426,8819
CSCL ZEEBRUGGE,477690700,9314234,9200
MSC MARGRIT,477307400,9465318,13102
OOCL HOCHIMINH CITY,477314100,9613599,8888
NYK DANIELLA,565963000,9355410,2660
NATAL,636020436,9333072,3398
MSC ORNELLA,354202000,9281267,4900
XIN YANG PU,413167000,9320477,4250
MSC ABIDJAN,255806434,9618264,8800
MP THE BELICHICK,255790000,9317937,5041
BUENOS AIRES EXPRESS,770576232,7396381,11923
SPIL CITRA,373459000,9392559,3534
MSC LUDOVICA,351248000,9251690,6750
MSC YANG R,636021129,9227285,3744
CORCOVADO,636092798,9687564,9100
CIMBRIA,636090902,9241190,2826
MSC PHOENIX,636016672,9267649,6586
EPONYMA,311000725,9808039,1034
OOCL SAN FRANCISCO,477806000,9199268,5714
COSCO FAITH,477108100,9472141,13092
MSC LAUREN,353428000,9467407,12967
MSC IVANA,370930000,9398371,11660
MSC FRANCESCA,370993000,9401116,11660
CONCERTO,538009275,9907251,1038
MSC AQUARIUS,209716000,9262704,6492
NAVEGANTES EXPRESS,563105800,9793935,11923
CONSCIENCE,538009272,9865867,1091
MOL BENEFACTOR,477307900,9739666,10100
MSC DAISY,636020468,9295165,4992
MSC RICCARDA II,255806096,9449869,1496
MSC LISBON,636018079,9304459,9178
CONTI COURAGE,636093042,9293789,8084
MSC FIE,636021408,9120853,10143
MSC DANIT,357051000,9404649,14028
MSC CORNELIA,636017514,9426817,5083
MSC KYMEA,636020701,9334844,2111
ATHENS GLORY,209615000,9247766,6492
NYK LAURA,538009707,9406752,2660
MSC TIPHAINE,636020702,9270828,1850
BHUDTHI BHUM,563136800,9403621,6310
LOS ANDES BRIDGE,354118000,9451472,2221
MSC BHAVYA,636016423,9297876,5018
MSC BRITTANY,255806430,9724049,9288
MSC MELINE,255806497,9702077,8800
HENRIKA SCHULTE,477346500,9535163,5605
MSC MAKOTO II,355776000,9236212,1740
WINDERMERE,229016000,9399791,2872
MSC SUPARNA F,373314000,9147227,0
MSC NERISSA,352948000,9278155,5060
SEASPAN HAMBURG,477014800,9224300,4253
CSCL MONTEVIDEO,477111800,9385984,2546
MSC TEXAS,636020494,9318058,8533
MSC TIANSHAN,636020501,9305477,8533
MSC ODESSA,255805661,9456965,4334
MSC KATRINA,373404000,9467445,12400
FLEUR N,636019931,9509138,2786
MSC SANTA MARIA,352001168,9290426,5042
MSC EVA,371218000,9401130,10000
LIMARI,310761000,9290816,4045
MSC REBECCA,355738000,9139505,3424
FUTURE,351577000,9149847,1864
NAVIOS UNITE,636012807,9302619,8533
IRIDA,273430810,9428229,698
MSC CLEA,255805930,9720524,8111
BOMAR SPRING,636017239,9316359,2732
MSC GISELLE,255806520,9720196,9407
SPARTEL TRADER,636021056,9243203,3237
ADVANCE,351645000,9149859,1864
MSC POH LIN,357405000,9279977,5050
MSC AUBE F,352001323,9360283,1060
MSC TIGER F,374391000,9248928,1200
MSC BENEDETTA,636092804,9465253,13102
XIN FANG CHENG,413138000,9309930,4034
ZHONG GU XIA MEN,413338660,9810240,2518
HANSA RATZEBURG,636091823,9357846,1732
ZHONG GU ZHU HAI,413380750,9810252,2518
XIN CHONG QING,413055000,9262118,3824
XIN TAI CANG,413166000,9320465,4250
MSC ANYA,636016424,9297864,5018
MSC EUGENIA,636021363,9785469,4469
NORTHERN DISCOVERY,636091526,9391799,3534
MSC WASHINGTON,636021365,9908047,14428
MSC DYMPHNA,373517000,9110391,5127
CZECH,256771000,9723241,9019
MSC ALINA,636016305,9695016,8386
MOLLY SCHULTE,563024700,9743485,2345
MSC BARBADOS,352001367,9289544,5075
NAGOYA TRADER,440516000,9517628,858
CHRISTA SCHULTE,563479000,9665669,5466
MSC VIDHI,636016433,9238739,4170
SEAMAX FAIRFIELD,255803770,9302633,8533
SALVADOR EXPRESS,477154300,9793894,11923
MSC YUVIKA,636022022,9141285,4545
MSC EXPRESS III,636018729,9374571,2700
MSC ANAHITA,636020918,9302085,5642
MSC CHULAI III,371543000,9305013,2702
SHIJING,563130600,9348663,5100
MSC JUDITH,356093000,9299549,8034
MSC EMILY II,636021412,9236444,0
MSC PEGASUS VII,636016673,9267637,6586
MSC FAIRFIELD,255803770,9302633,8533
MSC ALICE,636018026,9232632,1730
MSC BUSAN,255806362,9289087,8034
MSC TOKYO,636020497,9318046,8533
MANZANILLO EXPRESS,538009760,9520039,13280
MSC MICHIGAN VII,636021994,9196864,6420
MSC ELSA 3,636016814,9123221,1730
MSC MONTEREY,0,0,4860
